T,sigma1,sigma2,sigma3
10.0,7664517.84410592,0.0,0.0
11.11111111111111,7607599.698968206,0.0,0.0
12.222222222222221,7713973.045930312,0.0,0.0
13.333333333333334,7608606.3881799625,0.0,0.0
14.444444444444445,7618401.474297788,0.0,0.0
15.555555555555555,7618060.632647167,0.0,0.0
16.666666666666668,7639370.134227365,0.0,0.0
17.77777777777778,7631533.0471599605,0.0,0.0
18.88888888888889,7628407.054703561,0.0,0.0
20.0,0.0,0.0,0.0
21.11111111111111,7650746.415324209,0.0,0.0
22.22222222222222,7640792.298362072,0.0,0.0
23.333333333333336,7697145.480148028,0.0,0.0
24.444444444444443,7666291.236663928,0.0,0.0
25.555555555555557,7668476.021949708,0.0,0.0
26.666666666666668,7678866.411065029,0.0,0.0
27.77777777777778,7734872.025496497,0.0,0.0
28.88888888888889,7703675.731426275,0.0,0.0
30.0,7688466.7246782025,0.0,0.0
31.11111111111111,7712588.495713284,0.0,0.0
32.22222222222222,7733634.75132056,0.0,0.0
33.333333333333336,7727223.909744196,0.0,0.0
34.44444444444444,7649605.199587284,0.0,0.0
35.55555555555556,7758884.746840271,0.0,0.0
36.66666666666667,7832257.337567808,0.0,0.0
37.77777777777778,7792796.7408979265,0.0,0.0
38.888888888888886,7827492.248199512,0.0,0.0
40.0,7837364.026140819,0.0,0.0
41.111111111111114,7864511.826807822,0.0,0.0
42.22222222222222,7918179.670308067,0.0,0.0
43.333333333333336,7901446.674608517,0.0,0.0
44.44444444444444,7937832.439536824,0.0,0.0
45.55555555555556,8008950.664063485,0.0,0.0
46.66666666666667,7968942.6411895305,0.0,0.0
47.77777777777778,8011388.654850373,0.0,0.0
48.88888888888889,8075465.299660647,0.0,0.0
50.0,8075585.604119184,0.0,0.0
51.111111111111114,8106631.196555445,0.0,0.0
52.22222222222222,8148233.410207359,0.0,0.0
53.333333333333336,8204734.238069587,0.0,0.0
54.44444444444444,8316732.287602763,0.0,0.0
55.55555555555556,8265488.062912625,0.0,0.0
56.66666666666667,8305962.285154821,0.0,0.0
57.77777777777778,8404747.943192454,0.0,0.0
58.88888888888889,8404655.29089641,0.0,0.0
60.0,8495369.20155105,0.0,0.0
61.111111111111114,8458614.333439905,0.0,0.0
62.22222222222222,8504776.523698563,0.0,0.0
63.333333333333336,8559976.692982573,0.0,0.0
64.44444444444446,8621683.890992008,0.0,0.0
65.55555555555556,8749767.05987995,0.0,0.0
66.66666666666667,8779136.469957005,0.0,0.0
67.77777777777777,8832790.996511046,0.0,0.0
68.88888888888889,8747373.428188967,0.0,0.0
70.0,8800019.582407704,0.0,0.0
71.11111111111111,8855684.725002434,0.0,0.0
72.22222222222223,8946192.79146261,0.0,0.0
73.33333333333334,8971041.03778087,0.0,0.0
74.44444444444444,8949128.703199437,0.0,0.0
75.55555555555556,9051781.330648974,0.0,0.0
76.66666666666667,9091558.909608122,0.0,0.0
77.77777777777779,9125682.556162897,0.0,0.0
78.88888888888889,9156561.050682157,0.0,0.0
80.0,9184641.521573728,0.0,0.0
81.11111111111111,9209997.628234658,0.0,0.0
82.22222222222223,9231908.838134248,0.0,0.0
83.33333333333334,9251092.23412814,0.0,0.0
84.44444444444444,9267639.841223143,0.0,0.0
85.55555555555556,9281483.607413532,0.0,0.0
86.66666666666667,9285635.157874582,0.0,0.0
87.77777777777779,9311045.766999016,0.0,0.0
88.88888888888889,9278073.421433095,0.0,0.0
90.0,9275489.432183191,0.0,0.0
91.11111111111111,9262019.827819986,0.0,0.0
92.22222222222223,9268232.143581474,0.0,0.0
93.33333333333334,9224967.072426278,0.0,0.0
94.44444444444444,9193821.225329671,0.0,0.0
95.55555555555556,9152542.228860866,0.0,0.0
96.66666666666667,9100188.346169952,0.0,0.0
97.77777777777779,9035425.501346746,0.0,0.0
98.88888888888889,8956489.12311542,0.0,0.0
100.0,8861066.330810603,0.0,0.0
101.11111111111111,8746402.870804174,0.0,0.0
102.22222222222223,393785.3536004261,1031682.4752130281,8608600.265213998
103.33333333333334,338098.174859275,1348772.5117118747,8441877.27425322
104.44444444444444,300580.5856002554,1677100.1216604693,8237506.530160256
105.55555555555556,268554.06520966295,2037311.579766329,7987337.240697996
106.66666666666667,173115.5791111514,2454056.902300418,7685520.371279687
107.77777777777779,194250.08885161745,2962351.805211774,7274688.835229291
108.8888888888889,204398.59819639317,3648689.86628896,6684037.0227133455
110.0,208405.92228393673,0.0,0.0
111.11111111111111,208907.7014219311,0.0,0.0
112.22222222222223,207439.65710541166,0.0,0.0
113.33333333333334,204895.39508546167,0.0,0.0
114.44444444444444,201805.4106335755,0.0,0.0
115.55555555555556,198527.27304150123,0.0,0.0
116.66666666666667,194413.0505652763,0.0,0.0
117.77777777777779,189334.79206062172,0.0,0.0
118.8888888888889,184009.37145768653,0.0,0.0
120.0,177276.14837529993,0.0,0.0
