,T,sigma
0,10.0,10683275.99233926
1,11.11111111111111,10497722.506029353
2,12.222222222222221,10579026.200000083
3,13.333333333333334,10513136.967396798
4,14.444444444444445,10531123.005398719
5,15.555555555555555,10534765.590613298
6,16.666666666666668,10551368.855222862
7,17.77777777777778,10562730.009948354
8,18.88888888888889,10553313.418996265
9,20.0,10264943.072023379
10,21.11111111111111,10537976.6058461
11,22.22222222222222,10545814.16607061
12,23.333333333333336,10574273.763186086
13,24.444444444444443,10655309.43368015
14,25.555555555555557,10662157.474701596
15,26.666666666666668,10618216.601377733
16,27.77777777777778,10598968.42432279
17,28.88888888888889,10598600.688324714
18,30.0,10597777.174017528
19,31.11111111111111,10655887.804338818
20,32.22222222222222,10612259.311310824
21,33.333333333333336,10705627.252182776
22,34.44444444444444,10644025.068976246
23,35.55555555555556,10663647.461975792
24,36.66666666666667,10668375.335480781
25,37.77777777777778,10792059.631865509
26,38.888888888888886,10688454.770336024
27,40.0,10804779.857804475
28,41.111111111111114,10700169.795246333
29,42.22222222222222,10745319.792766467
30,43.333333333333336,10792269.848037645
31,44.44444444444444,10737950.431962237
32,45.55555555555556,10802770.403619893
33,46.66666666666667,10896423.910131607
34,47.77777777777778,10800604.197463915
35,48.88888888888889,10958681.311378092
36,50.0,10913915.099987542
37,51.111111111111114,11009873.379287051
38,52.22222222222222,10887649.984437384
39,53.333333333333336,10914510.892140903
40,54.44444444444444,11049345.078866098
41,55.55555555555556,11095507.278568879
42,56.66666666666667,11027481.00803015
43,57.77777777777778,11027923.032196859
44,58.88888888888889,11071531.02853509
45,60.0,11128284.38894642
46,61.111111111111114,11235797.702899195
47,62.22222222222222,11193844.66354705
48,63.333333333333336,11200291.760009523
49,64.44444444444446,11236609.641353473
50,65.55555555555556,11280857.786833642
51,66.66666666666667,11325183.424396226
52,67.77777777777777,11378280.301933033
53,68.88888888888889,11411995.660685781
54,70.0,11434944.158054586
55,71.11111111111111,11443726.969537413
56,72.22222222222223,11473967.591928393
57,73.33333333333334,11510484.9662862
58,74.44444444444444,11552578.681075985
59,75.55555555555556,11644410.913139872
60,76.66666666666667,11659708.609583851
61,77.77777777777779,11585507.295468219
62,78.88888888888889,11700779.075286204
63,80.0,11744402.482734527
64,81.11111111111111,11775887.28270225
65,82.22222222222223,11798213.342681913
66,83.33333333333334,11812517.247158105
67,84.44444444444444,11820768.408063868
68,85.55555555555556,11823561.027517771
69,86.66666666666667,11822087.279351702
70,87.77777777777779,11810873.749696147
71,88.88888888888889,11817136.763913073
72,90.0,11844697.182059975
73,91.11111111111111,11884186.60375928
74,92.22222222222223,11847449.263439106
75,93.33333333333334,11831244.124157825
76,94.44444444444444,11768996.184328543
77,95.55555555555556,11769418.296291107
78,96.66666666666667,11736205.719888628
79,97.77777777777779,11688754.966740115
80,98.88888888888889,11632749.015647313
81,100.0,11567289.918863721
82,101.11111111111111,11491024.432263246
83,102.22222222222223,11402329.404355898
84,103.33333333333334,11299327.516325044
85,104.44444444444444,11180301.899444567
86,105.55555555555556,11042742.392798282
87,106.66666666666667,10883516.095014391
88,107.77777777777779,10698366.977256292
89,108.8888888888889,10481358.755773284
90,110.0,10227322.85083297
91,111.11111111111111,9923574.050722541
92,112.22222222222223,9571112.424381733
93,113.33333333333334,9101018.598940615
94,114.44444444444444,8463492.305190198
95,115.55555555555556,7342221.316431318
96,115.55555555555556,5438239.444247892
97,114.44444444444444,4219939.128486579
98,113.33333333333334,3484689.3017772385
99,112.22222222222223,2915944.4227788225
100,111.11111111111111,2441046.354480732
101,110.0,2027002.624465541
102,108.8888888888889,1650365.3576252086
103,107.77777777777779,1288705.1367727113
104,106.66666666666667,886526.2286232262
105,106.66666666666667,516060.8965052508
106,107.77777777777779,405434.5502905539
107,108.8888888888889,349431.1347401514
108,110.0,305214.64378997084
109,111.11111111111111,208316.21157608
110,112.22222222222223,226527.94161194802
111,113.33333333333334,233671.35745635297
112,114.44444444444444,235035.99276672144
113,115.55555555555556,233329.0735217806
114,116.66666666666667,230048.96066568384
115,117.77777777777779,226024.0904155909
116,118.8888888888889,221988.87716408307
117,120.0,216977.07575630548
