,T,sigma1,sigma2,sigma3
0,100.0,227.0,0.0,0.0
1,100.20202020202021,227.0,0.0,0.0
2,100.4040404040404,227.0,0.0,0.0
3,100.60606060606061,227.0,0.0,0.0
4,100.8080808080808,227.0,0.0,0.0
5,101.01010101010101,227.0,0.0,0.0
6,101.21212121212122,227.0,0.0,0.0
7,101.41414141414141,227.0,0.0,0.0
8,101.61616161616162,226.0,0.0,0.0
9,101.81818181818181,226.0,0.0,0.0
10,102.02020202020202,226.0,0.0,0.0
11,102.22222222222223,226.0,0.0,0.0
12,102.42424242424242,226.0,0.0,0.0
13,102.62626262626263,226.0,0.0,0.0
14,102.82828282828282,226.0,0.0,0.0
15,103.03030303030303,226.0,0.0,0.0
16,103.23232323232324,226.0,0.0,0.0
17,103.43434343434343,225.0,0.0,0.0
18,103.63636363636364,225.0,0.0,0.0
19,103.83838383838383,225.0,0.0,0.0
20,104.04040404040404,225.0,0.0,0.0
21,104.24242424242425,225.0,0.0,0.0
22,104.44444444444444,225.0,0.0,0.0
23,104.64646464646465,225.0,0.0,0.0
24,104.84848484848484,224.0,0.0,0.0
25,105.05050505050505,224.0,0.0,0.0
26,105.25252525252526,224.0,0.0,0.0
27,105.45454545454545,224.0,0.0,0.0
28,105.65656565656566,224.0,0.0,0.0
29,105.85858585858585,223.0,0.0,0.0
30,106.06060606060606,223.0,0.0,0.0
31,106.26262626262626,223.0,0.0,0.0
32,106.46464646464646,68.0,84.0,223.0
33,106.66666666666667,64.0,89.0,223.0
34,106.86868686868686,61.0,93.0,222.0
35,107.07070707070707,59.0,95.0,222.0
36,107.27272727272727,57.0,98.0,222.0
37,107.47474747474747,55.0,100.0,222.0
38,107.67676767676768,54.0,102.0,222.0
39,107.87878787878788,51.0,105.0,221.0
40,108.08080808080808,51.0,107.0,221.0
41,108.28282828282828,50.0,109.0,221.0
42,108.48484848484848,48.0,111.0,221.0
43,108.68686868686869,47.0,113.0,220.0
44,108.88888888888889,46.0,114.0,220.0
45,109.0909090909091,44.0,116.0,220.0
46,109.29292929292929,43.0,118.0,219.0
47,109.4949494949495,42.0,119.0,219.0
48,109.6969696969697,40.0,121.0,219.0
49,109.8989898989899,39.0,123.0,218.0
50,110.1010101010101,38.0,124.0,218.0
51,110.3030303030303,36.0,126.0,218.0
52,110.5050505050505,35.0,127.0,217.0
53,110.70707070707071,34.0,129.0,217.0
54,110.9090909090909,32.0,131.0,216.0
55,111.11111111111111,31.0,132.0,216.0
56,111.31313131313131,30.0,134.0,216.0
57,111.51515151515152,28.0,135.0,215.0
58,111.71717171717171,26.0,137.0,215.0
59,111.91919191919192,25.0,139.0,214.0
60,112.12121212121212,23.0,140.0,213.0
61,112.32323232323232,20.0,142.0,213.0
62,112.52525252525253,17.0,144.0,212.0
63,112.72727272727272,12.0,145.0,211.0
64,112.92929292929293,147.0,211.0,0.0
65,113.13131313131314,149.0,210.0,0.0
66,113.33333333333333,150.0,209.0,0.0
67,113.53535353535354,153.0,208.0,0.0
68,113.73737373737373,154.0,208.0,0.0
69,113.93939393939394,156.0,207.0,0.0
70,114.14141414141415,158.0,206.0,0.0
71,114.34343434343434,160.0,205.0,0.0
72,114.54545454545455,162.0,204.0,0.0
73,114.74747474747474,165.0,202.0,0.0
74,114.94949494949495,167.0,201.0,0.0
75,115.15151515151516,170.0,199.0,0.0
76,115.35353535353535,173.0,197.0,0.0
77,115.55555555555556,176.0,194.0,0.0
78,115.75757575757575,182.0,190.0,0.0
79,115.95959595959596,0.0,0.0,0.0
80,116.16161616161617,0.0,0.0,0.0
81,116.36363636363636,0.0,0.0,0.0
82,116.56565656565657,0.0,0.0,0.0
83,116.76767676767676,0.0,0.0,0.0
84,116.96969696969697,0.0,0.0,0.0
85,117.17171717171718,0.0,0.0,0.0
86,117.37373737373737,0.0,0.0,0.0
87,117.57575757575758,0.0,0.0,0.0
88,117.77777777777777,0.0,0.0,0.0
89,117.97979797979798,0.0,0.0,0.0
90,118.18181818181819,0.0,0.0,0.0
91,118.38383838383838,0.0,0.0,0.0
92,118.58585858585859,0.0,0.0,0.0
93,118.78787878787878,0.0,0.0,0.0
94,118.98989898989899,0.0,0.0,0.0
95,119.1919191919192,0.0,0.0,0.0
96,119.39393939393939,0.0,0.0,0.0
97,119.5959595959596,0.0,0.0,0.0
98,119.79797979797979,0.0,0.0,0.0
99,120.0,0.0,0.0,0.0
